"","artist_name","track_name","lyrics"
"550","Judy Garland","As Long As He Needs Me - Live On ""The Judy Garland Show"", 1963","as long as he needs me lyrics when the sun comes outand the rain stops beating on my window panewhen the sun comes outtherell be bluebirds round my door singing like they did beforethat old storm broke outand my man went off and left me in the rainthough hes gone i doubtif hell stay away for good id stop living if he wouldlove is funnyits not always peaches cream and honeyjust when everything looked bright and sunnysuddenly the storm clouds cameill never be the sametil the sun comes outand the rain stops beating on my window paneif my heart holds outlet it rain and let it pourtherell be bluebirds round my doorlove is funnyits not always peaches cream and honeyjust when everything looked bright and sunnysuddenly the storm clouds cameill never be the sametil the sun comes outand the rain stops beating on my window paneif my heart holds outlet it rain and let it pourit will not be long beforetheres a knocking at my doorand youll know the man lovewalked in when the sun comes out"
"551","The Beach Boys","Wendy - Second Show/Live","wendy wendy what went wrongoh so wrongwe went together for so longi never thought a guy could cryuntil you made it with another guyoh wendy wendy left me alonehurt so badwendy wendy dont lose your headlose your headwendy dont believe a word he saysi cant picture you with himhis future looks awful dimwendy i wouldnt hurt you like thatno no noi thought we had our love down patguess i was wrongthe farthest thing from my mindwas the day that id wake up to findmy wendywendy left me alone wendy wendy"
"552","Meghan Trainor","Underwater (feat. Dillon Francis)","i need you to move i need you to moveshow me how to move showmehow to movewhenmy world starts burnin down ineed youput me in a mood put me in a moodput me in a mood put me in a moodwith you im finally breathin easierwere divin deeperway down way down deeperwere divin deeperi aint afraid to drown with youwere divin deeperway down way down deeperwere divin deeperi aint afraid to drown with youlet gravity pull harderwell go underwaterbaby dance with me under the wavesweightless and unbotheredwell go underwaterbaby dance with me under the wavesi need you to move i need you to moveshow me how to move show me how to movewhen my world starts burnin down i need youto put me in a mood put me in a moodput me in a mood put me in a moodwith you im finally breathin easierwere divin deeperway down way down deeperwere divin deeperi aint afraid to drown with youwere divin deeperway down way down deeperwere divin deeperi aint afraid to drown with youlet gravity pull harderwell go underwaterbaby dance with me under the wavesweightless and unbotheredwell go underwaterbaby dance with me under the waveswere divin deeperway down way down deeperwere divin deeperi aint afraid to drown with youwere divin deeperway down way down deeperwere divin deeperi aint afraid to drown with you"
"554","Bing Crosby","Swinging On A Star","swinging on a star lyrics would you like to swing on a starcarry moonbeams home in a jarand be better off than you areor would you rather be a mule?a mule is an animal with long funny earshe kicks up at anything he hearshis back is brawny but his brain is weakhes just plain stupid with a stubborn streakand by the way if you hate to go to schoolyou may grow up to be a muleor would you like to swing on a starcarry moonbeams home in a jarand be better off than you areor would you rather be a pig?a pig is an animal with dirt on his facehis shoes are a terrible disgracehes got no manners when he eats his foodhes fat and lazy and extremely rudebut if you dont care a feather or a figyou may grow up to be a pigor would you like to swing on a starcarry moonbeams home in a jarand be better off than you areor would you rather be a fish?a fish wont do anything but swim in a brookhe cant write his name or read a bookto fool the people is his only thoughtand though hes slippery he still gets caughtbut then if that sort of life is what you wishyou may grow up to be a fishand all the monkeys arent in the zooeveryday youll meet quite a fewso you see its all up to youyou can be better than you areyou could be swingin on a star"
"556","Dua Lipa","New Rules - SG Lewis Remix","one one one one onetalkin in my sleep at night makin myself crazyout of my mind out of my mindwrote it down and read it out hopin it would save metoo many times too many timesmy love he makes me feel like nobody else nobody elsebut my love he doesnt love me so i tell myself i tell myselfone dont pick up the phoneyou know hes only callin cause hes drunk and alonetwo dont let him inyoull have to kick him out againthree dont be his friendyou know youre gonna wake up in his bed in the morningand if youre under him you aint gettin over himi got new rules i count emi got new rules i count emi gotta tell them to myselfi got new rules i count emi gotta tell them to myselfi keep pushin forwards but he keeps pullin me backwardsnowhere to turn no waynowhere to turn nonow im standin back from it i finally see the patterni never learn i never learnbut my love he doesnt love me so i tell myself i tell myselfi do i do i doone dont pick up the phoneyou know hes only callin cause hes drunk and alonetwo dont let him inyoull have to kick him out againthree dont be his friendyou know youre gonna wake up in his bed in the morningand if youre under him you aint gettin over himi got new rules i count emi got new rules i count emi gotta tell them to myselfi got new rules i count emi gotta tell them to myselfpractice makes perfectim still tryna learn it by heart i got new rules i count emeat sleep and breathe itrehearse and repeat it cause i i got newone dont pick up the phone yeahyou know hes only callin cause hes drunk and alone alonetwo dont let him in uh-oohyoull have to kick him out again againthree dont be his friendyou know youre gonna wake up in his bed in the morningand if youre under him you aint gettin over himi got new rules i count emi got new rules i count emwhoa-ooh whoa-ooh whoai gotta tell them to myselfi got new rules i count embaby you know i count emi gotta tell them to myselfdont let him in dont let him indont dont dont dontdont be his friend dont be his frienddont dont dont dontdont let him in dont let him indont dont dont dontdont be his friend dont be his frienddont dont dont dontyoure gettin over him"
"558","TOTO","Isolation","im stranded here in a dream and theres no ticket backi feel a cold wind blowin my future looks blackyou left me here and youve taken all my yesterdaysi guess to stand alone is the price that i paynow look what youve done to mebecause we just disagreeim out here alone and its you that im waiting forcant go livin without you girlit doesnt matter what you say or do girlcant go livin without you girlisolationi close my eyes and youre dancin in the moonlight with mei try to touch you but you you had to get freei turned around and youre nowhere left in sightim just a lone survivor you know it aint right it aint rightnow look what youve done to mebecause we just disagree yeah you knowim out here alone and its you that im waiting forcant go livin without you girlyou know that ill be waiting here for you girlcant go livin without you girlisolationi remember holding you just yesterdaybut youre memory is all that i have todaywe were talking bout promises we once had madebut you never came backwhyd you run away you ran awaycant go livin without you girlit doesnt matter what you say or docant go livin without you girlisolationgirl im so isolatedcant go livin without you girl ohgirl you know im gonna wait for youcant go livin without you girlisolation"
"561","Frank Sinatra","One for My Baby - 2003 Remastered Version","its quarter to threetheres no one in the place cept you and meso set em up joei got a little story i think you should knowwere drinkin my friend to the endof a brief episodemake it one for my babyand one more for the roadi got the routineput another nickel in the machinefeelin so badcant you make the music easy and sad?i could tell you a lotbut youve gotta be true to your codejust make it one for my babyand one more for the roadyoud never know itbut buddy im a kind of poetand ive got a lot of things id like to sayand when im gloomywont you listen to metill its talked away?well thats how it goesand joe i know youre gettin anxious to closeand thanks for the cheeri hope you didnt mind my bending your earbut this torch that ive foundits gotta be drowned or it soon might explodeso make it one for my babyand one more for the roadthe long its so longthe long very long"
"562","Kelly Clarkson","Take You High","we dont know where this is going nowbut im feeling love for youim feeling something new yeah yeahwe dont know where this is going nowbut dont be afraid tonightdont be afraid of heights nolet me open your heart widewhen your angels fall out of the skyill be the wings that make you flywhen you come down ill take you highill take you highill take youill take youif im dreaming dont roll over yetperfect like porcelainthis could be heaven sent yeahkiss the wind and just hold on to mecause in the free-fall is when we get to live again yeahlet me open your heart widewhen your angels fall out of the skyill be the wings that make you flywhen you come down ill take you highill take you highill take youill take youill take youwhen we feel down and were lost and were wasting awaylets escapetheres a place deep in your heart where the trouble cant gothats our home yeahyeahyeahyeahyeahyeah yeahill take youill take youill take you"
"563","Zara Larsson","Never Gonna Die","do you recognize the song anymore?do you recognize the sound of my voice?does it get drowned in the noise?i wonder if you found what you wantmaybe im telling myself a lie when i stayim the only one still on your mindyou will be mine somedayi feel you when im in the darki still dont know how to move onim sick and in love but i feel in my gutyeah i know that you are the oneused to say forever but its never nowthought wed be together but we separate nowyou are my first and thats why it hurtsthe fire that burns it aint never gonna dienaw it aint never gonna dieit aint never gonnais it even worth the time anymore?its different this time aint it boy?cause thats always what you say what you saybut im better at the games that you playim taking it back whats minecause you said its foreverstand through the test of timeif we dare stay togetheri aint gonna wait in lineim patient but im not blindwere young so we got the time make it right alrightused to say forever but its never nowthought wed be together but we separate nowyou are my first and thats why it hurtsthe fire that burns it aint never gonna dienever thought id ever say were strangers nowall the love we had has turned to hate somehowyou are my first and thats why it hurtsthe fire that burns it aint never gonna dienaw it aint never gonna dienaw it aint never gonna dienever gonna dienever gonna die nohere we are in this place againsomewhere between eternal love and no longerand if i never see your face againi hope you know that will never be another like youused to say forever but its never nowthought wed be together but we separate nowyou are my first and thats why it hurtsthe fire that burns it aint never gonna dienever thought id ever say were strangers nowall the love we had has turned to hate somehowyou are my first and thats why it hurtsthe fire that burns it aint never gonna dienaw it aint never gonna dieit aint never gonna dieyou are my first and thats why it hurtsthe fire that burns it aint never gonna die"
"566","Eminem","Stay Wide Awake","yo yo follow me follow mecome with me to the dark side of the forceno man would boldly go to this placethe devil only knows of this worldso dark and oh so cold its oh so coldoh so cold ohsoon as my flow starts i compose art like the ghost of mozarteven though they all say that theyre real i know that most arentboy you think youre clever dont ya? girl you think youre so smartcome with me to another side in a world so cold and so darkstay wide awakea world so dark a world so colda world where on-ly some will gostay wide awakebut none return when will they learn?where do they go? god only knowsstay wide awakefe-fi-fo-fum i think i smell the scent of a placentai enter central park its dark its winter in decemberi see my target put my car in park and approach a tenderyoung girl by the name of brenda and i pretend to befriend hersit down beside her like a spider hi there girl you mightaheard of me before see whore youre the kind of girl that id a-ssault and rape then figure why not try to make your pussy widerfuck you with an umbrella then open it up while the shits inside yaim the kind of guy thats mild but i might flip and get a little bit wilderimpregnate a lesbian yeah now lets see her have triplets and ill di-sintegrate them babies as soon as theyre out her with formalde-hyde and cyanide girl you can try and hide you can try to scream louderno need for no gunpowder that only takes all the fun out ofmurderin id rather go vinn-vinn and now you see just how thefuck i do just what i do when i cut right through your scalp uhhshit wait a minute i mean skull my knife seems dull pull another one out uhsoon as my flow starts i compose art like the ghost of mozarteven though they all say that theyre real i know that most arentboy you think youre clever dont ya? girl you think youre so smartcome with me to another side in a world so cold and so darkstay wide awakea world so dark a world so colda world where on-ly some will gostay wide awakebut none return when will they learn?where do they go? god only knowsstay wide awakeso dark and so cold my friends dont know this other side of metheres a monster inside of me its quite ugly and it frightens mebut they cant see what i can see theres a vacancy in my tummyits makin me play hide-and-seek like jason im so hungryshes naked see no privacy but i can see she wants meso patient see i try to be but gee why does she taunt me?pulls the drapes and she goes right to sleep and i creep right through the front seeso blatantly but silently cause i know that shes sound sleepwhos wakin me so violently and whys he on top of me?hes rapin me she tries to scream somebody please get him off mehes tapin me hes bitin me hes laughin like its funnyshes scrapin me shes fightin me shes scratchin like some dumb freakescapin me no dice you see i might just be ted bundyor satan gee what a sight to see im dancin in my red pantiesim crazy but its alright with me man life can be so emptystay away from me cause im dancin to quite a different drum beatsoon as my flow starts i compose art like the ghost of mozarteven though they all say that theyre real i know that most arentboy you think youre clever dont ya? girl you think youre so smartcome with me to another side in a world so cold and so darkstay wide awakea world so dark a world so colda world where on-ly some will gostay wide awakebut none return when will they learn?where do they go? god only knowsstay wide awakebetter try to stay wide awake or you might end up found dead by the lakesoon as you lay me down to sleep bitch your soul ima try to takepray for light of day right away why do they try to fight today?i must make them pay twice as much might as well put the knife awaynow i use power tools how bout now are you in the shower?scour you for six hours til outage of power outletshow did you figure out i was down in your basement? now yamustve just heard the sound of my stomach growlin from down thereprowler theres no one fouler bound ya thats how they found yaface down in the tub i drown ya with piles of downers around yasuch nostalgia and power such prowess look how you cowerjump out on you now like i was a jawa from fuckin star warsjabba the hutt biddy-bye-bye biddy-bye-bye its time to die-dieought to not even bother to scream it dont even matteramazing when grazin skin with these razor blades he waves at yanot ya everyday damien bathe me in holy waternothing like son of sam so please understand theres no gun in handwheres the thrill in the hunt? theres no fun in that here i come with axefun to act like lumberjack when im hackin em up with thatwhat was that? dial 9-1-1 someones comin in from the backsoon as my flow starts i compose art like the ghost of mozarteven though they all say that theyre real i know that most arentboy you think youre clever dont ya? girl you think youre so smartcome with me to another side in a world so cold and so darkstay wide awakea world so dark a world so colda world where on-ly some will gostay wide awakebut none return when will they learn?where do they go? god only knowsstay wide awake"
"567","Katy Perry","I Kissed A Girl - Remix","this was never the way i plannednot my intentioni got so brave drink in handlost my discretionits not what im used tojust wanna try you onim curious for youcaught my attentioni kissed a girl and i liked itthe taste of her cherry chapsticki kissed a girl just to try iti hope my boyfriend dont mind itit felt so wrong it felt so rightdont mean im in love tonighti kissed a girl and i liked iti liked itno i dont even know your nameit doesnt matteryoure my experimental gamejust human natureits not what good girls donot how they should behavemy head gets so confusedhard to obeyi kissed a girl and i liked itthe taste of her cherry chapsticki kissed a girl just to try iti hope my boyfriend dont mind itit felt so wrong it felt so rightdont mean im in love tonighti kissed a girl and i liked iti liked itus girls we are so magicalsoft skin red lips so kissablehard to resist so touchabletoo good to deny itaint no big deal its innocenti kissed a girl and i liked itthe taste of her cherry chapsticki kissed a girl just to try iti hope my boyfriend dont mind itit felt so wrong it felt so rightdont mean im in love tonighti kissed a girl and i liked iti liked it"
"568","Stevie Wonder","So What The Fuss - Remix","if im caught at a dance party without my dancing shoesand everybody dances on my bare feetshame on meif im minding my business just doing the right thingand you try to front me off in the streetshame on youif a familys waiting for that special blessing tocome their waybut they aint trying to get on their knees and prayshame on themand if we live in a time where every nations fightingaround the worldyet we cant all agree that peace is the wayshame on usshame on me shame on you shame on them shame on usshame on me shame on you shame on them shame on usso what the fussif i gotta get up early in the morning for a jobinterviewand i forget to set the stupid alarmshame on meif my children are playing outside like little children doand you come around there trying to bring them some harmshame on youshould i be driving thru a klantown find a restaurantto get me some foodand someone says hey boy we dont serve your kindshame on themand if we live in a democracy and you dont use yourpower to voteknowing some would like to turn back the hands of timeshame on usshame on me shame on you shame on them shame on usshame on me shame on you shame on them shame on usso what the fussif im hooked on a habit knowing damn well it couldcost me my lifeyet i keep doing what i should do withoutshame on meif youre locked in a marriage and your other halfjust gives you abuseyet youve convinced yourself that theres no way outshame on youif were jamming the music and somebodys got theaudacityto say that they can jam it better than usshame on themand should there be just a handful that believe thatwe are totally freeand theres no need to fight for equalityshame on usshame on me shame on you shame on them shame on usshame on me shame on you shame on them shame on usso what the fussshame on me shame on you shame on them shame on usshame on me shame on you shame on them shame on usso what the fusswhat the fuss"
"573","The Beach Boys","Wonderful - Version 2 Tag/2011 Smile Version","she belongs there left with her libertynever known as a non-believershe laughs and stays in the one one wonderfulshe knew how to gather the forest whengod reached softly and moved her bodyone golden locket quite young andloving her mother and fatherfarther down the path was a mysterythrough the recess the chalk and numbersa boy bumped into her one one one wonderfullaughs and soundssmile version lyrics - alternative verse 4all fall down and lost in the mysterylost it all to a non-believerand all thats left is a girlwhos loved by her mother and fathershell return in love with her libertynever known as a non-believershell smile and thank god for one one one wonderful"
"574","Justin Bieber","Sorry","you gotta go and get angry at all of my honestyyou know i try but i dont do too well with apologiesi hope i dont run out of time could someone call a referee?cause i just need one more shot at forgivenessi know you know that i made those mistakes maybe once or twiceby once or twice i mean maybe a couple a hundred timesso let me oh let me redeem oh redeem oh myself tonightcause i just need one more shot at second chancesyeah is it too late now to say sorry?cause im missing more than just your bodyoh is it too late now to say sorry?yeah i know that i let you downis it too late to say im sorry now?im sorry yeahsorry yeahsorryyeah i know that i let you downis it too late to say im sorry now?ill take every single piece of the blame if you want me tobut you know that there is no innocent one in this game for twoill go ill go and then you go you go out and spill the truthcan we both say the words and forget this?yeah is it too late now to say sorry?cause im missing more than just your bodyoh is it too late now to say sorry?yeah i know that i let you downis it too late to say im sorry now?im not just trying to get you back on me oh no nocause im missing more than just your body your bodyoh is it too late now to say sorry?yeah i know that i let you downis it too late to say im sorry now?im sorry yeahsorry ohsorryyeah i know that i let you downis it too late to say im sorry now?im sorry yeahsorry ohsorryyeah i know that i let you downis it too late to say im sorry now?"
"576","The Jackson 5","The Love I Saw In You Was Just A Mirage","there you were beautifulthe promise of love was written on your faceyou led me on with untrue kissesyou held me captured in your false embracequicker than i could bat an eyesince you were telling me goodbyeoh just a minute ago your love was hereall of a sudden it seemed to disappearsweetness was only heartaches camouflagethe love i saw in you was just a mirageyou promised that happiness wed forever sharebut all i have are memories of love that was never therewe use to meet in romantic placesyou gave the illusion that your love was realnow all thats left are lipstick tracesfrom the kisses you only pretended to feeland now our meetings you avoidand so my world you have destroyedoh just a minute ago your love was hereall of a sudden it seemed to disappearthe way you wrecked my life was like sabotagethe love i saw in you was just a mirageyou brought me up just to throw me downyou left me and my dreams shattered all on the groundoh oh oh you only filled me with despairby showing love that wasnt thereoh just like the desert shows a thirsty mangreen oasis where theres only sandyou lured me into something i should have dodgedthe love i saw in you was just a mirageto you i gave true love from deep withinyou made me hungry for your love when it was no deeper than your skinjust like the desert shows a thirsty mangreen oasis where theres only sandyou lured me into into something i should have dodgedthe love i saw in you was just a mirage oh oh oh oh oh ohjust like the desert shows a thirsty mangreen oasis where theres only sandyou lured me into something i should have dodgedthe love i saw in you was just a mirage ah ah ahthe love i saw in you was just a miragethe love i saw in you was just a miragejust like the desert shows a thirsty mana green oasis uh-huh where theres only sand"
"580","Arctic Monkeys","Suck It and See","your love is like a studded leather headlockyour kiss it could put creases in the rainyoure rarer than a can of dandelion and burdockand those other girls are just post-mix lemonadesuck it and see you never knowsit next to me before i gojigsaw women with horror movie shoesbe cruel to me cause i am a fool for youi poured my aching heart into a pop songi couldnt get the hang of poetrythats not a skirt girl thats a sawn-off shotgunand i can only hope youve got it aimed at mesuck it and see you never knowsit next to me before i gojigsaw women with horror movie shoesbe cruel to me cause i am a fool forblue moon girls from once upon a shangri-lahow i often wonder where you areyou have got that face that just saysbaby i was made to break your heart oh-oh-ohsuck it and see you never knowsit next to me before i go go go gojigsaw women with horror movie shoesbe cruel to me cause i am a fool for you"
"582","Enrique Iglesias","Physical","you wanna danceyou wanna moveim on a mission to just take you to the moonwe like to partywere in the moodso turn it up and let the music get you loosewere feeling highgimme that bassjust get them drinks and put yo hand up in the airyou know you want meso make a movecome over here and show me what youre gonna dotonight were going all the wayyou want my lips to kiss the pain awaybody to body we can cause a flamewe can ignite ignite ignitetonight were going all the wayyou want my lips to kiss the pain awaybody to body we can cause a flamewe can ignite ignite ignitewere gettin physical physical physical ohphysical physicalwere gettin physical physical physical ohphysical physicalyou make me flyim losing my headdont let me come down pump it up until the endthe club is bumpinblow up the roofso nevermind if we all get a little rudemove to the rightmove to the leftnow back it up you know just what you gonna getyou know you like iti know you doso turn it up and let the beat just get you loosetonight were going all the wayyou want my lips to kiss the pain awaybody to body we can cause a flamewe can ignite ignite ignitetonight were going all the wayyou want my lips to kiss the pain awaybody to body we can cause a flamewe can ignite ignite ignitewere gettin physical physical physical ohphysical physicalwere gettin physical physical physical ohphysical physicalyou wanna danceyou wanna moveim on a mission to just take you to my roomtonight were going all the wayyou want my lips to kiss the pain awaybody to body we can cause a flamewe can ignite ignite ignitewere gettin physical physical physical ohphysical physicalwere gettin physical physical physical ohphysical physical"
"584","Young Thug","SRS","impossible to love you lyrics you call me in the mornig half past twocan tell that youre wasted nothing newi get out of my bed to pick you upi wonder if im way too good for youthought we are walking in a straight linebut its a big lie fashion of our loveand even when you hold meim still felling lonelybut its just enougheasy at first then we ran out the wordsso impossible for me to love youim on the ground where youre falling back downso impossible for me to love youyou always give me color painting blacki give you all i got but you throw it backthought we are walking in a straight linebut its a big lie fashion of our loveand even when you hold meim still felling lonelybut its just enougheasy at first then we ran out the wordsso impossible for me to love youim on the ground where youre falling back downso impossible for me to love youeasy at first then we ran out the wordsso impossible for me to love you"
"586","The Pogues","Fairytale of New York - Instrumental","it was christmas eve babein the drunk tankan old man said to mewont see another oneand then he sang a songthe rare old mountain dewi turned my face awayand dreamed about yougot on a lucky onecame in eighteen-to-oneive got a feelingthis years for me and youso happy christmasi love you babyi can see a better timewhen all our dreams come truetheyve got cars big as bars theyve got rivers of goldbut the wind goes right through you its no place for the oldwhen you first took my hand on a cold christmas eveyou promised me broadway was waiting for meyou were handsomeyou were pretty queen of new york citywhen the band finished playingthey howled out for moresinatra was swingingall the drunks they were singingwe kissed on a cornerthen danced through the nightthe boys of the nypd choirwere singing galway bayand the bells were ringing outfor christmas dayyoure a bum youre a punkyoure an old slut on junklying there almost dead on a drip in that bedyou scumbag you maggotyou cheap lousy faggothappy christmas your arsei pray god its our lastthe boys of the nypd choirstill singing galway bayand the bells are ringing outfor christmas dayi could have been someonewell so could anyoneyou took my dreams from mewhen i first found youi kept them with me babei put them with my owncant make it all aloneive built my dreams around youthe boys of the nypd choirstill singing galway bayand the bells are ringing outfor christmas day"
"587","The Jackson 5","Santa Claus Is Coming To Town","santa claus is comin to townsanta claus is comin to townyoud better watch outyoud better not cryyoud better not poutim telling you whysanta claus is comin to townsanta claus is comin to townsanta claus is comin to townhes making a listand checking it twicegonna find out whos naughty and nicesanta claus is comin to town oh yeahsanta claus is comin to townsanta claus is comin to townhe sees you when youre sleepinghe knows when youre awakehe knows if youve been bad or goodso be good for goodness sakebe good for goodness sakeoh youd better watch out watch outyoud better not cry woo hoobetter not poutim telling you whyoh santa claus is comin to town oh yeahsanta claus is comin to townsanta claus is comin to town woo hoowoo hoowoo hoosanta claus is comin to townsanta claus is comin to townsanta claus is comin to townlittle tin horns and little toy drumsrooty-toot-toot and rump-a-tum-tumscurly-haired dolls that tootle and cooelephants boats and kiddie cars toooh santa claus is comin to town oh yeahsanta claus is comin to townsanta claus is comin to townone more time nowsanta claus is comin to town oh yeahsanta claus is comin to townsanta claus is comin to town"
"591","PARTYNEXTDOOR","LOW BATTERY","my batterys low but i hope my messages come throughcause i need answers from youi need answers from youi got questions for youso why dont you got answers for me? oh na na na oh na na na oh yeahhave you ever lied?its a dumb question baby girl cause everybody liesbut did you lie with someone else baby?what you tryna do? are you tryna hurt my ego?look you know its actually on a hunnidbut babe right now its on a zeroim not gon ask you was it worth itcause i know im not perfectwe are young and youre still searching and uncertainmy hearts been broken beforethis a feeling i already knowi just want the truth its just between me and youthey dont even know they dont even have a clueconfess confess girl need to know factsconfess and text me back dont hold backmy batterys low but i hope my messages come throughcause i need answers from youi i need answers from youi got questions for you oohso why dont you got answers for me? oohhave you ever lied? have you ever lied?its a dumb question baby girl cause everybody liesbut did you lie with someone else baby? yeah yeah yeahwhat you tryna do? are you tryna hurt my ego? what you tryna do? egolisten you coulda said you want to see different peoplenever knew that your love was so lethalshot shot shot its a shot babykept your secrets on the d-lowlow-key like a c-noteoh oh no need for the long-talking girli just want the truthface it reality theres no getting back with yougive me the truth its just between me and youthey dont even know they dont even have a clueco-confess confess girl need to know factsconfess and text me back dont hold back oh woahcause my batterys low but i hope my messages come throughcause i need answers from you i need answers from youi i need answers from you i need answers from youi got questions for you i got questions for youso why dont you got answers for me?have you ever lied?its a dumb question baby girl cause everybody liesbut did you lie with someone else? oh woahsomeone elseyou must have wanted someone elsemy batterys on low and i hope my messages go through"
"593","Oasis","Acquiesce - Live at Wembley Stadium, 2000","i dont know what it is that makes me feel alivei dont know how to wake the things that sleep insidei only wanna see the light that shines behind your eyesi hope that i can say the things i wish id saidto sing my soul to sleep and take me back to bedwho wants to be alone when we can feel alive insteadbecause we need each otherwe believe in one anotherand i know were going to uncoverwhats sleepin in our soulbecause we need each otherwe believe in one anotheri know were going to uncoverwhats sleepin in our soulwhats sleepin in our soulthere are many things that i would like to knowand there are many places that i wish to gobut everythings depending on the way the wind may blowi dont know what it is that makes me feel alivei dont know how to wake the things that sleep insidei only want to see the light that shines behind your eyesbecause we need each otherwe believe in one anotherand i know were going to uncoverwhats sleepin in our soulbecause we need each otherwe believe in one anotheri know were going to uncoverwhats sleepin in our soulwhats sleepin in our soulwhats sleepin in our soulwhats sleepin in our soulsleepin in our soulcause we believecause we believeyeah we believecause we believecause we believecause we believebecause we needbecause what we need"
"594","TOTO","Mad About You","mad about you lyrics theres something i must saytheres something i must doi planned it all this waydesigned it just for youdo you wanna be with mebe with me at alldo you have to be so coolyour gentle touch manoeuvered mebut all the time i always knewim really mad about youtheres nothing bad about our loveim giving you the only heart i havebut im afraid tonight it wont be enoughcan we go on this waytheres nothing left to proveits not another gameor another simple movedo you believe in mebelieve in me at allare you telling me the truthor is it just imaginationor the perfect dreamthat im here with youim really mad about youtheres nothing bad about our loveim giving you the only heart i havebut im afraid tonight it wont be enoughdo you wanna be with mebe with me at alldo you have to be so coolyour gentle touch manoeuvered mebut all the time i always knewim really mad about youtheres nothing bad about our loveim giving you the only heart i havebut im afraid tonight it wont be enoughim really mad about youtheres nothing bad about our loveive never had a broken heart beforebut i know youll never tear tear mine apart"
"595","Coldplay","Clocks","the lights go out and i cant be savedtides that i tried to swim againsthave brought me down upon my kneesoh i beg i beg and pleadsingin come out of things unsaidshoot an apple off my headand a trouble that cant be nameda tigers waiting to be tamed singinyou areyou areconfusion never stopsclosing walls and tickin clocksgonna come back and take you homei could not stop that you now knowsingin come out upon my seascursed missed opportunitiesam i a part of the cure?or am i part of the disease? singinyou areyou areyou areyou areyou areyou areand nothing else comparesoh nothing else comparesand nothing else comparesyou areyou arehomehome where i wanted to gohomehome where i wanted to gohome you arehome where i wanted to gohome you arehome where i wanted to go"
"596","The Carters","FRIENDS","my friends real friends better than your friendsthats how we keep poppin out that benz yeahno foes real friends we aint even got to pretend yeahget bands get bands spend it all on my friendsgon pull me up pull me up pull me up pull me up pull me up pull me upand never let me down they never let me downgon pull me up pull me up pull me up pull me up pull me up pull me upand never let me drown never let me drowngon pull me up pull me up pull me upand never let me drown never let me drowngon pull me up pull me up pull me up pull me up pull me up pull me upill never hit the ground never let me drown never let me drownmy friends real friends better than your friends yeahthats how we keep popping out that benz yeahfaux friends real friends better than your friends yeahask them ask them they know all my businessi dont know what i would do without all of my crew yeahi aint makin no room yeah i aint makin no new friendsi dont make no moves yeah without tellin my crew yeahthat just how we do yeah that just how we do ohgoddammit it i love my life styrofoam cups no iceparty fore we go insidenever let them out my sight ooh theyre right by my side woothem my ride-or-dies ride them my ride-or-dies ridemy friends are goals your friends are foes foeswe fly why cry? our souls exposed yeahwe smoke we laugh your stress my stresscloser than kin im blessed you blessed blessedten toes ten toes we was out in that road uhlookin for love in wrong places we proposed to a stove yeahshare jewels share clothes thats how deep this shit goes yeahevery week ya got bros all of yall fear closureyall switchin sides like nba teams just after halftimeim pullin up on my dog make sure he okay i dont even have timethen copped me a porsche with butterscotch seats this fore they had milslive better than rappers and they dont even have bills its that realbought emory a bm as soon as he came homewe hopped on a plane headed straight to the baythats how we turn the game on its game onty mama died i was there my nephew died he was therehe in my house more than i be there more than bey therety ty there e there breezy there juan therehigh here chaka there law there they all here ah yeahdez there kawanna here shit feel like nirvana herecrib like the soho house i might stay in and grow out my hairtight circle no squares im geometrically opposed to youyall like to try angles yall like to troll do you?yall talk around hoes do you? yall dont follow codes do you?we know everything you say from niggas close to you you emotionalwhen i say free the dogs i free em thats how meek got his freedomyall put niggas on a t-shirt it hurts you aint never meet emyou got niggas in the feds you aint even tryna feed emim tryna free the world thats how deep im ini aint goin to nobody nothin if me and my wife beefini dont care if the house on fire im dyin nigga i aint leavinty-ty take care of my kids after he done grievinif yall dont understand that we aint meant to be friendsgon pull me up pull me up pull me up pull me up pull me up pull me upand never let me down they never let me downgon pull me up pull me up pull me up pull me up pull me up pull me upand never let me drown never let me drowngon pull me up pull me up pull me up pull me up pull me up pull me upand never let me drown never let me drowngon pull me up pull me up pull me up pull me up pull me up pull me upill never hit the ground never let me drown never let me drownthey pray pray for me they pray pray for mesee better things for me want better days for me unexceptionallythey pray pray for me they pray pray for mewhenever im in need they in the backseat with the aux bumpin buh aint no pride involved aint no pride involvedin my heart heart heart you know 4-4-4thats my dog dog dogs see your dogs dogs dogspoint em out out out point em out out outwhat would i be without my friends? what would i be without my friends?i aint got no understanding i aint got no understandingbout them you might just catch these handswe fall out and we make amends yeah yeahmy friendsyour friends are foes my friends are goalscloser than kin our souls exposed yeahyour friends are frauds all they want is applause yeahand my friends real friends closer than kinthem pull me up pull me up pull me upthem never let me drownthem pull me up pull me up pull me upthem never let me downthem pull me up pull me up pull me upthem never let me downthem pull me up pull me up pull me upthem pull me up pull me up pull me upthem pull me up pull me up pull me upthem pull me up pull me up pull me up"
